M,11,1.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,11,1.5,60,11,22,2,10.0257,17,7,5,12
M,12,1.75,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,12,1.75,60,12,22,2,10.8633,17,7,5,11
M,14,2,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,14,2,60,14,30,2,12.701,23,9,5,10
M,16,2,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,16,2,60,16,30,2,14.701,23,9,5,10
M,18,2.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,18,2.5,60,18,30,2,16.3762,23,9,5,10
M,20,2.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,20,2.5,60,20,30,2,18.3762,23,9,5,10
M,22,2.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,22,2.5,60,22,30,2,20.3762,23,9,5,10
M,24,3,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,24,3,60,24,30,2,22.0514,23,9,5,9
M,27,3,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,27,3,60,27,30,2,25.0514,23,9,5,9
M,30,3.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,30,3.5,60,30,30,2,27.7267,23,9,5,9
M,33,3.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,33,3.5,60,33,30,2,30.7267,23,9,5,9
M,36,4,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,36,4,60,36,30,2,33.4019,23,9,5,8
M,39,4,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,39,4,60,39,30,2,36.4019,23,9,5,8
M,42,4.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,42,4.5,60,42,30,2,39.0772,23,9,6,8
M,45,4.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,45,4.5,60,45,30,2,42.0772,23,9,6,8
M,48,5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,48,5,60,48,42,2,44.7524,33,15,6,8
M,52,5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,52,5,60,52,42,2,48.7524,33,15,6,8
M,56,5.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,56,5.5,60,56,42,2,52.4276,33,15,6,8
M,60,5.5,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,60,5.5,60,60,42,2,56.4276,33,15,6,8
M,64,6,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,64,6,60,64,42,2,60.1029,33,15,6,8
M,68,6,GP,6H,통과 나사 플러그 게이지,미터 보통 나사,68,6,60,68,42,2,64.1029,33,15,6,8
M,3,0.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,3,0.5,60,3,14,-2,2.6752,10,2,5,25
M,3.5,0.6,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,3.5,0.6,60,3.5,22,2,3.1103,17,7,5,21
M,4,0.7,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,4,0.7,60,4,22,2,3.5453,17,7,5,18
M,4.5,0.75,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,4.5,0.75,60,4.5,22,2,4.0129,17,7,5,17
M,5,0.8,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,5,0.8,60,5,22,2,4.4804,17,7,5,16
M,6,1,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,6,1,60,6,22,2,5.3505,17,7,5,15
M,7,1,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,7,1,60,7,22,2,6.3505,17,7,5,15
